,num_registro,sd_16,sd_15,sd_14,sd_13,sd_12,sd_11,sd_10,sd_9,sd_8,sd_7,sd_6,sd_5,sd_4,sd_3,sd_2,sd_1,prom_venta,Prediccion01,Prediccion23
0,37301747639677,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.25,00,00
1,37323816426877,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,00,00
2,37310877495777,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,00,00
3,37323803965677,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13.2,00,00
4,37310895879377,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2.25,10,00
5,37318747613777,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.0,00,00
6,37321449884277,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.0,00,00
7,37318611086177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,00,00
8,37304521759877,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1.0,10,00
9,37300567605277,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,00,00
10,37314364506977,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2.0,00,00
11,37323524295077,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,00,00
12,37300803003377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5,00,00
13,37312754251977,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,00,00
14,37321213754177,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,00,00
15,37311405576977,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,00,00
16,37324255840177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,00,00
17,37320728027877,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,6.0,00,00
18,37323622459277,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.0,00,00
19,37305454652977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.25,00,00
20,37311636298277,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,00,10
21,37324398971277,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.0,10,00
22,37311232613477,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1.5,00,00
23,37317626636377,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1.75,10,01
24,37323624113277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,00,00
25,37321757703477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.25,10,00
